nid,id,hd,cr,wc,pd,et,sn,sc,ed,pg,la,cy,lp,td,ct,rf,co,ina,ns,re,ipc,ipd,pub,an
534,Factiva-20210602-1526,"At Ford plant, Biden feels a need for speed while promoting clean-energy tech
   BY
Matt Viser",,"1,168 words",19 May 2021,,The Washington Post,WP,FINAL,A18,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","When President Biden on Tuesday took the stage at a Ford plant he said, ""I'm a car guy."" And then, shortly afterward, he proved it.

Biden - in an excursion that probably made his Secret Service detail squirm - jumped into a new F-150 Lightning electric truck and pressed the accelerator, zipping around an empty lot.",,,,,,gcar : Cars | gmetha : Methamphetamine Use/Abuse | gabus : Drug/Substance Use/Abuse | gcat : Political/General News | gcom : Society/Community | glife : Living/Lifestyle | gsoc : Social Issues,usa : United States | namz : North America,,National-Politics,Washington Post,Document WP00000020210519eh5j0000b
535,Factiva-20210602-1526,"Business Digest
   BY
From wire reports",,567 words,18 May 2021,,St. Louis Post-Dispatch,SLMO,Final,A12,English,"Copyright 2021, St. Louis Post-Dispatch.  All Rights Reserved.","Tech stocks fall: Wall Street stocks ended lower on Monday, weighed down by tech shares as signs of growing inflation worried investors about the potential for tighter monetary policy.

Of the 11 major S&P sectors that declined, technology and communication services were among the biggest losers.",,,,,,ncdig : Corporate Digests | ncat : Content Types,usmo : Missouri | namz : North America | usa : United States | usc : Midwest U.S.,,business | major-industry,St. Louis Post-Dispatch,Document SLMO000020210520eh5i0015r
536,Factiva-20210602-1526,HIGHLIGHT: Tennessee,,"2,252 words",18 May 2021,,USA Today,USAT,,"D.5
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"Alabama Montgomery: The state House on Monday approved a bill that would prevent businesses and schools from requiring patrons and students to get COVID-19 vaccines.

Alaska Juneau: The state will stop participating next month in a federal program that provides an extra $300 a week in unemployment aid, Alaska's labor commissioner announced Friday, saying it's ""time to help people get back to work.""",,,,,i2572 : Vaccines | i257 : Pharmaceuticals | i951 : Healthcare/Life Sciences | idrugty : Specialized Drugs/Medications,gsars : Novel Coronaviruses | greg : Regional Politics | gout : Outbreaks/Epidemics | c173 : Financing Agreements | gart : Art | gedu : Education | gent : Arts/Entertainment | ghea : Health | gmed : Medical Conditions | gvcng : Legislative Branch | c17 : Corporate Funding | ccat : Corporate/Industrial News | gcat : Political/General News | gcold : Respiratory Tract Diseases | gpir : Politics/International Relations | gpol : Domestic Politics | gspox : Infectious Diseases | gvbod : Government Bodies | ncat : Content Types | nfact : Factiva Filters | nfcpin : C&E Industry News Filter,usa : United States | usw : Western U.S. | ushi : Hawaii | usak : Alaska | usal : Alabama | usca : California | usfl : Florida | usks : Kansas | usnj : New Jersey | usok : Oklahoma | ustn : Tennessee | namz : North America | usc : Midwest U.S. | use : Northeast U.S. | uss : Southern U.S.,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210518eh5i00011
537,Factiva-20210602-1526,"Adapting to the new CDC mask guidelines: Arts organizations adjust with release of new, relaxed rules.
   BY
Rosalind Bentley",Staff,907 words,18 May 2021,,The Atlanta Journal - Constitution,ATJC,Main,D1,English,"Copyright (c) 2021 The Atlanta Journal-Constitution, All Rights Reserved","COPING WITH CORONAVIRUS

Museums, theaters and tourist attractions across metro Atlanta were still fi guring out how to adapt to new CDC guidance regarding the wearing of masks.",,,,uscdcp : Centers for Disease Control and Prevention,,gvbod : Government Bodies | gcat : Political/General News | gpir : Politics/International Relations | gpol : Domestic Politics,usga : Georgia (US) | atlnt : Atlanta | usa : United States | namz : North America | uss : Southern U.S.,,pagesuite,"Cox Enterprises, Inc., d/b/a The Atlanta Journal-Constitution",Document ATJC000020210518eh5i0000t
538,Factiva-20210602-1526,"Cobb, Marietta schools keep masks optional: After confusion, districts go with last week’ rules update.
   BY
Kristal Dixon kristal.dixon@ajc.com",Staff,531 words,18 May 2021,,The Atlanta Journal - Constitution,ATJC,Main,B2,English,"Copyright (c) 2021 The Atlanta Journal-Constitution, All Rights Reserved","TOP STORY

Cobb",,,,,,gscho : School | gvbod : Government Bodies | gcat : Political/General News | gedu : Education | gpir : Politics/International Relations | gpol : Domestic Politics,usga : Georgia (US) | atlnt : Atlanta | namz : North America | usa : United States | uss : Southern U.S.,,pagesuite,"Cox Enterprises, Inc., d/b/a The Atlanta Journal-Constitution",Document ATJC000020210518eh5i0000u
539,Factiva-20210602-1526,"Radio City to Reopen to Maskless, Vaccinated Crowds
   BY
By Matt Stevens and Luis FerréSadurní",,651 words,18 May 2021,,The New York Times,NYTF,Late Edition - Final,4,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"The venue will welcome audiences back indoors June 19 for the Tribeca Festival's closing night.

In the latest sign of just how quickly vaccinations are changing what New Yorkers can and can't do, Radio City Music Hall plans to reopen next month to welcome full-capacity, maskless audiences -- as long as each ticket holder has been vaccinated.",,,,,i97412 : Entertainment Venues | ilea : Leisure/Arts/Hospitality,gfesti : Festivals | gent : Arts/Entertainment | gimmu : Immunizations | gmusic : Music | gcat : Political/General News | ghea : Health | gtrea : Medical Treatments/Procedures,usny : New York State | usa : United States | nyc : New York City | namz : North America | use : Northeast U.S.,,The Arts/Cultural Desk,The New York Times Company,Document NYTF000020210518eh5i0004u
540,Factiva-20210602-1526,"Getting back to normal is glorious
   BY
Eugene Robinson",,823 words,18 May 2021,,The Washington Post,WP,FINAL,A23,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","The details of the new guidance on covid-19 from federal health officials may be a bit confusing, but the gist is clear: If you are fully vaccinated, you can resume something that resembles normal life. And having done so myself, let me assure you: It is glorious.

Some basic cautions remain. Don't do anything you know is stupid. Keep a mask handy, and wear it when appropriate. Be kind, and do your best not to make other people uncomfortable. Realize that unforeseen circumstances, among them the emergence of vaccine- resistant virus strains, could set us back. But for now, those of us who are vaccinated can come out of our bunkers and reengage with the world, assuming we remember how.",,,,,,gimmu : Immunizations | nedi : Editorials | gsars : Novel Coronaviruses | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types,usa : United States | namz : North America,,Editorial-Opinion,Washington Post,Document WP00000020210518eh5i0001w
541,Factiva-20210602-1526,HIGHLIGHT: South Carolina,,"2,279 words",17 May 2021,,USA Today,USAT,,"D.5
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"Alabama Mobile: With a brass band playing on the wharf, the Carnival Sensation docked Friday at the Mobile Cruise Terminal, where USA Health staff headed aboard to provide first doses of COVID-19 vaccines for 110 crew members. The ship will return in three weeks for second doses, the city said in a statement.

Alaska Juneau: Legislative leaders voted Friday to make masks optional at the state Capitol. ""Sen. Reinbold, you can remove your mask now,"" Senate President Peter Micciche said after the vote, with people in the meeting room laughing and clapping. Sen. Lora Reinbold has been an outspoken critic of mask requirements.",,,,,i951 : Healthcare/Life Sciences,gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | greg : Regional Politics | gimmu : Immunizations | gmed : Medical Conditions | gpol : Domestic Politics | reqrhc : Suggested Reading   Healthcare | reqrph : Suggested Reading   Pharmaceuticals | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gpir : Politics/International Relations | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,usa : United States | uss : Southern U.S. | usw : Western U.S. | usak : Alaska | usal : Alabama | usnv : Nevada | usok : Oklahoma | ussc : South Carolina | namz : North America,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210517eh5h00004
542,Factiva-20210602-1526,"Companies Weigh Faster Office Return --- New CDC guidance on masks, social distancing throws a wrinkle into plans
   BY
By Chip Cutter and Konrad Putzier",,"1,106 words",17 May 2021,,The Wall Street Journal,J,,B1,English,"Copyright 2021 Dow Jones & Company, Inc. All Rights Reserved.","Rich Lesser, chief executive officer of Boston Consulting Group, gathered with his executives Friday after the CDC's new guidance that says vaccinated Americans no longer need to wear masks and observe social distancing in most instances.

At issue is whether the relaxed rules change how quickly BCG and other companies should bring workers back into skyscrapers from Manhattan to San Francisco.",,,,uscdcp : Centers for Disease Control and Prevention,i2572 : Vaccines | icnsl : Business Consultancy | i257 : Pharmaceuticals | i951 : Healthcare/Life Sciences | iacc : Accounting/Consulting | ibcs : Business/Consumer Services | idrugty : Specialized Drugs/Medications,nmajev : Major News Events | ntop : Top Wire News | reqrhc : Suggested Reading   Healthcare | reqrph : Suggested Reading   Pharmaceuticals | ndj : Dow Jones Top Stories | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,usa : United States | namz : North America,MEN | HHS | USG | NND | BAF | SFR | TPT,,"Dow Jones & Company, Inc.",Document J000000020210517eh5h0001z
543,Factiva-20210602-1526,"Director of CDC defends abrupt reversal on mask recommendations
   BY
Dan Diamond",,896 words,17 May 2021,,The Washington Post,WP,FINAL,A09,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","The nation's top public health official on Sunday defended her agency's abrupt reversal on wide-ranging mask recommendations, saying that the Centers for Disease Control and Prevention had weighed new data before announcing that Americans who had been vaccinated could go without masks.

""We now have science that has really just evolved, even in the last two weeks,"" CDC Director Rochelle Walensky said on ABC News's ""This Week,"" citing new data that coronavirus vaccines are curbing the spread of the disease covid-19 and offering protection against virus variants. Walensky, who appeared on four separate Sunday morning news shows to explain her agency's new guidelines, also touted widespread access to those vaccines and called on tens of millions of unvaccinated Americans to go get shots.",,,,uscdcp : Centers for Disease Control and Prevention,i2572 : Vaccines | i257 : Pharmaceuticals | i951 : Healthcare/Life Sciences | idrugty : Specialized Drugs/Medications,gvbod : Government Bodies | gsars : Novel Coronaviruses | gimmu : Immunizations | reqrhc : Suggested Reading   Healthcare | reqrph : Suggested Reading   Pharmaceuticals | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gpir : Politics/International Relations | gpol : Domestic Politics | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,usa : United States | namz : North America,,Health-Environment-Science,Washington Post,Document WP00000020210517eh5h00006
